ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
547565	TO DO Int - Inside Corner Detail - Paneling	Element	Work Plane Grid		True	TO DO Int - Inside Corner Detail - Paneling	True	View "Drafting View: TO DO Int - Inside Corner Detail - Paneling"				
547604	location <Not Shared>	ImportInstance	Inside Corner Detail - Paneling.dwg		True	TO DO Int - Inside Corner Detail - Paneling	True	View "Drafting View: TO DO Int - Inside Corner Detail - Paneling"				
547605	TO DO Int - Inside Corner Detail - Horizontal Trim	ViewDrafting	Views		False		True	View "Drafting View: TO DO Int - Inside Corner Detail - Horizontal Trim"				
547610	TO DO Int - Inside Corner Detail - Horizontal Trim	Element	Work Plane Grid		True	TO DO Int - Inside Corner Detail - Horizontal Trim	True	View "Drafting View: TO DO Int - Inside Corner Detail - Horizontal Trim"				
547647	location <Not Shared>	ImportInstance	Inside Corner Detail - Horizontal Trim.dwg		True	TO DO Int - Inside Corner Detail - Horizontal Trim	True	View "Drafting View: TO DO Int - Inside Corner Detail - Horizontal Trim"				
547690	location <Not Shared>	ImportInstance	Head at Paneled Recess.dwg		True	Int - Head at Paneled Recess	True	View "Drafting View: Int - Head at Paneled Recess"				
547693	_Detail INSTRUCTIONS	ViewDrafting	Views		False		True	View "Drafting View: _Detail INSTRUCTIONS"				
547698	_Detail INSTRUCTIONS	Element	Work Plane Grid		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547700	5/8"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547701	Linear - 3/32" Arial	Dimension	Dimensions		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547702	1/10" Arial	TextNote	Text Notes		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547703	1/10" Arial	TextNote	Text Notes		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547704	1/10" Arial	TextNote	Text Notes		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547705	1/10" Arial	TextNote	Text Notes		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547706	1/10" Arial	TextNote	Text Notes		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547707	1/10" Arial	TextNote	Text Notes		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547708	Break Line Single	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547709	2"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547710	2"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547713	Detail Filled Region	FilledRegion	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547720	Linear - 3/32" Arial	Dimension	Dimensions		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547721	Linear - 3/32" Arial	Dimension	Dimensions		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547726	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547727	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547728	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547729	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547730	Linear - 3/32" Arial	Dimension	Dimensions		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547731	Linear - 3/32" Arial	Dimension	Dimensions		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547732	Linear - 3/32" Arial	Dimension	Dimensions		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547733	1/10" Arial	TextNote	Text Notes		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547734	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547735	Datum	AnnotationSymbol	Generic Annotations		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547736	1/10" Arial	TextNote	Text Notes		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547737	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547738	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547739	Framing Section - Sizeable	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547740	Framing Section - Sizeable	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547741	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547742	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547743	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547744	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547745	Plan Dim	AnnotationSymbol	Generic Annotations		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547746	3/4"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547747	3/4"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547748	Acoustical Paneling Grooves	DetailLine	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547749	Acoustical Paneling Grooves	DetailLine	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547750	Break Line Single	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547839	5/8"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547848	2"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547849	2"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547874	Framing Section - Sizeable	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547875	Framing Section - Sizeable	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547881	3/4"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547882	3/4"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547883	Acoustical Paneling Grooves	DetailLine	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547884	Acoustical Paneling Grooves	DetailLine	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547902	5/8"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547911	2"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547912	2"	FamilyInstance	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547915	Detail Filled Region	FilledRegion	Detail Items		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547922	Linear - 3/32" Arial	Dimension	Dimensions		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547923	Linear - 3/32" Arial	Dimension	Dimensions		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
547924	Detail Lines	DetailLine	Lines		True	_Detail INSTRUCTIONS	True	View "Drafting View: _Detail INSTRUCTIONS"				
