ID	Name	ClassName	CategoryName	LevelName	IsViewSpecific	OwnerViewName	IsWorkshared	WorksetName	DesignOptionSet	DesignOptionName	PhaseName	
534136	1/10" Arial	TextNote	Text Notes		True	Int - Typical Acoustic Wood Panel Head	False					
534137	1/10" Arial	TextNote	Text Notes		True	Int - Typical Acoustic Wood Panel Head	False					
534138	1/10" Arial	TextNote	Text Notes		True	Int - Typical Acoustic Wood Panel Head	False					
534139	Break Line Single	FamilyInstance	Detail Items		True	Int - Typical Acoustic Wood Panel Head	False					
534140	2"	FamilyInstance	Detail Items		True	Int - Typical Acoustic Wood Panel Head	False					
534141	Detail Lines	DetailLine	Lines		True	Int - Typical Acoustic Wood Panel Head	False					
534142	Detail Lines	DetailLine	Lines		True	Int - Typical Acoustic Wood Panel Head	False					
534143	Detail Lines	DetailLine	Lines		True	Int - Typical Acoustic Wood Panel Head	False					
534144	3/4"	FamilyInstance	Detail Items		True	Int - Typical Acoustic Wood Panel Head	False					
534145	Detail Lines	DetailLine	Lines		True	Int - Typical Acoustic Wood Panel Head	False					
534146	Break Line Single	FamilyInstance	Detail Items		True	Int - Typical Acoustic Wood Panel Head	False					
534147	Break Line Single	FamilyInstance	Detail Items		True	Int - Typical Acoustic Wood Panel Head	False					
534148	3 1/2"	FamilyInstance	Detail Items		True	Int - Typical Acoustic Wood Panel Head	False					
534149	Framing Section - Sizeable	FamilyInstance	Detail Items		True	Int - Typical Acoustic Wood Panel Head	False					
534150	Framing Section - Sizeable	FamilyInstance	Detail Items		True	Int - Typical Acoustic Wood Panel Head	False					
534151	1/10" Arial	TextNote	Text Notes		True	Int - Typical Acoustic Wood Panel Head	False					
534152	1/10" Arial	TextNote	Text Notes		True	Int - Typical Acoustic Wood Panel Head	False					
534153	Int - Jamb at Paneled Recess	ViewDrafting	Views		False		False					
534159	1/10" Arial	TextNote	Text Notes		True	Int - Jamb at Paneled Recess	False					
534160	1/10" Arial	TextNote	Text Notes		True	Int - Jamb at Paneled Recess	False					
534161	1/10" Arial	TextNote	Text Notes		True	Int - Jamb at Paneled Recess	False					
534162	1/10" Arial	TextNote	Text Notes		True	Int - Jamb at Paneled Recess	False					
534163	Break Line Single	FamilyInstance	Detail Items		True	Int - Jamb at Paneled Recess	False					
534166	Detail Filled Region	FilledRegion	Detail Items		True	Int - Jamb at Paneled Recess	False					
534167	Framing Section - Sizeable	FamilyInstance	Detail Items		True	Int - Jamb at Paneled Recess	False					
534168	Break Line Double	FamilyInstance	Detail Items		True	Int - Jamb at Paneled Recess	False					
534169	3/4"	FamilyInstance	Detail Items		True	Int - Jamb at Paneled Recess	False					
534170	3/4"	FamilyInstance	Detail Items		True	Int - Jamb at Paneled Recess	False					
534173	Detail Filled Region	FilledRegion	Detail Items		True	Int - Jamb at Paneled Recess	False					
534186	Framing Section - Sizeable	FamilyInstance	Detail Items		True	Int - Jamb at Paneled Recess	False					
